Date,Code
2/18/2020 9:53:32 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 9:53:32 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 9.53:32 PM,Alarm 1.17 LINER INFEED LIGHTCURTAIN NOT OK
2/18/2020 9:47:46 PM,Alarm 3.19 LIFT DRIVER NOT ADVANCED
2/18/2020 9:11:36 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 9:11:02 PM,Alarm 2.27 LIFT ARM NOT ADVANCED
2/18/2020 9:09:55 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 9:07:26 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 9:04:51 PM,Alarm 1.12 VSD 227 FAULT
2/18/2020 9:04:12 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 9:02:24 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 8:55:43 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:54:16 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:53:22 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:53:10 PM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/18/2020 8:51:36 PM,Alarm 1.17 LINER INFEED LIGHTCURTAIN NOT OK
2/18/2020 8:51:36 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 8:48:46 PM,Alarm 1.13 VSD 234 FAULT
2/18/2020 8:48:06 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:44:46 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 8:22:14 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/18/2020 8:22:14 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/18/2020 8:15:16 PM,Alarm 1.12 VSD 227 FAULT
2/18/2020 8:15:16 PM,Alarm 1.12 VSD 227 FAILT
2/18/2020 8:14:27 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:13:31 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 8:01:23 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 7:37:05 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 7:34:59 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 7:29:55 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 7:29:39 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 7:27:41 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/18/2020 7:25:09 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/18/2020 7:22:37 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/18/2020 7:22:37 PM,Alarm 5.1 LIFT TOPDRIVER I SCREW NOT FED
2/18/2020 7:21:33 PM,Alarm 4.28 LIFT CONSECUTIVE SCREW FEED
2/18/2020 7:21:21 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/18/2020 7:21:21 PM,Alarm 5.2 LIFT TOPDRIVER I SCREW NOT FED
2/18/2020 7:21:17 PM,Alarm 4.28 LIFT CONSECUTIVE SCREW FEED
